kode;nama;level;issummary;defsign
"4.1.2.01.13";"Retribusi Pengendalian Menara Telekomunikasi";4;0;1;
"4.1.2.01.14";"Premi Retribusi Asuransi Diluar Jam Kerja";4;0;1;
"4.1.2.01.15";"Retribusi Rumah Sakit Umum Daerah";4;0;1;
"4.1.2.01.16";"Retribusi Pengolahan Limbah Cair (IPCL)";4;0;1;
"4.1.2.01.17";"Retribusi Kompensasi Kelebihan Muatan";4;0;1;
"4.1.2.01.18";"Retribusi Pelayanan Pasar";4;0;1;
"4.1.2.01.19";"Retribusi Pelayanan Tera/Tera Ulang";4;0;1;
"4.1.2.01.20";"Retibusi Pelayanan Kesehatan JAMKESMAS ";4;0;1;
"4.1.2.01.21";"Retibusi Pelayanan Kesehatan JAMPERSAL";4;0;1;
"4.1.2.01.22";"Pendapatan Kapitasi Jaminan Kesehatan";4;0;1;
"4.1.2.01.23";"Pendapatan Non Kapitasi Jaminan Kesehatan";4;0;1;
"4.1.2.01.24";"Retribusi Pelayanan Kesehatan Non Kapitasi Jaminan Kesehatan*";4;0;1;
"4.1.2.02";"Retribusi  Jasa Usaha";3;1;1;
"4.1.2.02.01";"Retribusi  Pemakaian Kekayaan Daerah";4;0;1;
"4.1.2.02.02";"Retribusi  Pasar Grosir dan atau Pertokoan";4;0;1;
"4.1.2.02.03";"Retribusi Tempat Pelelangan";4;0;1;
"4.1.2.02.04";"Retribusi  Terminal";4;0;1;
"4.1.2.02.05";"Retribusi  Tempat Khusus Parkir";4;0;1;
"4.1.2.02.06";"Retribusi  Tempat Penginapan/Pasanggrahan/Villa";4;0;1;
"4.1.2.02.07";"Retribusi  Penyediaan dan/atau Penyedotan Kakus";4;0;1;
"4.1.2.02.08";"Retribusi  Rumah Potong Hewan";4;0;1;
"4.1.2.02.09";"Retribusi  Pelayanan Kepelabuhan";4;0;1;
"4.1.2.02.10";"Retribusi  Tempat Rekreasi dan Olahraga";4;0;1;
"4.1.2.02.11";"Retribusi  Penyeberangan di Air";4;0;1;
"4.1.2.02.12";"Retribusi  Pengolahan Limbah Cair";4;0;1;
"4.1.2.02.13";"Retribusi  Penjualan Produksi Usaha Daerah";4;0;1;
"4.1.2.02.14";"Retribusi Sewa Alat Berat";4;0;1;
"4.1.2.03";"Retribusi  Perizinan Tertentu";3;1;1;
"4.1.2.03.01";"Retribusi  Izin Mendirikan Bangunan (IMB)";4;0;1;
"4.1.2.03.02";"Retribusi  Izin Tempat Penjualan Minuman Beralkohol";4;0;1;
"4.1.2.03.03";"Retribusi  Izin Gangguan/Keramaian";4;0;1;
"4.1.2.03.04";"Retribusi  Izin Trayek";4;0;1;
"4.1.2.03.05";"Retribusi Izin Usaha Perikanan";4;0;1;
"4.1.2.03.06";"Retribusi  Izin Pemanfaatan Ruang (IPR)";4;0;1;
"4.1.2.03.07";"Retribusi  Izin Usaha Peternakan";4;0;1;
"4.1.2.03.08";"Retribusi  Izin Usaha Kepariwisataan dan Kebudayaan";4;0;1;
"4.1.2.03.09";"Retribusi  Izin Usaha Perindustrian dan Perdagangan";4;0;1;
"4.1.2.03.10";"Retribusi  Izin Usaha Jasa Konstruksi";4;0;1;
"4.1.2.03.11";"Retribusi Izin Pengambilan Air (SIPA)";4;0;1;
"4.1.2.03.12";"Retribusi Izin Tempat Penjualan Minuman Beralkohol";4;0;1;
"4.1.2.03.13";"Retribusi Ijin Perpanjangan IMTA";4;0;1;
"4.1.3";"Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan";2;1;1;
"4.1.3.01";"Bagian Laba atas Penyertaan Modal pada Perusahaan Milik Daerah / BUMD";3;1;1;
"4.1.3.01.01";"PDAM";4;0;1;
"4.1.3.01.02";"Apotik Sumber Jaya";4;0;1;
"4.1.3.01.03";"PD. Pasar";4;0;1;
"4.1.3.01.04";"LPK ";4;0;1;
"4.1.3.01.05";"PT. MKR";4;0;1;
"4.1.3.01.06";"LPP";4;0;1;
"4.1.3.01.07";"Bank Jabar";4;0;1;
"4.1.3.01.08";"PD. BPR";4;0;1;
"4.1.3.02";"Bagian Laba atas Penyertaan Modal pada Perusahaan Milik Pemerintah / BUMN";3;1;1;
"4.1.3.02.01";"Perusahaan";4;0;1;
"4.1.3.03";"Bagian Laba atas Penyertaan Modal pada Perusahaan Milik Swasta";3;1;1;
"4.1.3.03.01";"Perusahaan";4;0;1;
"4.1.4";"Lain-lain Pendapatan Asli Daerah yang Sah";2;1;1;
"4.1.4.01";"Hasil Penjualan Aset Daerah Yang Tidak Dipisahkan Secara Tunai Atau Angsuran (Cicilan)";3;1;1;
"4.1.4.01.01";"Pelepasan Hak Atas Tanah";4;0;1;
"4.1.4.01.02";"Penjualan Peralatan / Perlengkapan Kantor Tidak Terpakai";4;0;1;
"4.1.4.01.03";"Penjualan Mesin / Alat-alat Berat Tidak Terpakai";4;0;1;
"4.1.4.01.04";"Penjualan Rumah Jabatan / Rumah Dinas";4;0;1;
"4.1.4.01.05";"Penjualan Kendaraan Dinas Roda Dua";4;0;1;
"4.1.4.01.06";"Penjualan Kendaraan Dinas Roda Empat";4;0;1;
"4.1.4.01.07";"Penjualan Drum Bekas";4;0;1;
"4.1.4.01.08";"Penjualan Hasil Penebangan Pohon";4;0;1;
"4.1.4.01.09";"Penjualan Lampu Hias Bekas";4;0;1;
"4.1.4.01.10";"Penjualan Bahan-bahan Bekas Bangunan";4;0;1;
"4.1.4.01.11";"Penjualan Perlengkapan Lalu Lintas";4;0;1;
"4.1.4.01.12";"Penjualan Obat-obatan dan Hasil Farmasi";4;0;1;
"4.1.4.01.13";"Penjualan Hasil Pertanian";4;0;1;
"4.1.4.01.14";"Penjualan Hasil Kehutanan";4;0;1;
"4.1.4.01.15";"Penjualan Hasil Perkebunan";4;0;1;
"4.1.4.01.16";"Penjualan Hasil Peternakan";4;0;1;
"4.1.4.01.17";"Penjualan Hasil Perikanan";4;0;1;
"4.1.4.01.18";"Penjualan Hasil Sitaan";4;0;1;
"4.1.4.01.19";"Penghapusan Barang Lainnya";4;0;1;
"4.1.4.01.20";"Penerimaan Royalty";4;0;1;
"4.1.4.01.21";"Penerimaan penjualan/Ruislaagh Barang Milik Daerah";4;0;1;
"4.1.4.01.22";"Penjualan Paket BMD Tidak Terpakai Secara Lelang ";4;0;1;
"4.1.4.02";"Penerimaan Jasa Giro";3;1;1;
"4.1.4.02.01";"Jasa Giro Kas Daerah";4;0;1;
"4.1.4.02.02";"Jasa Giro Pemegang Kas";4;0;1;
"4.1.4.02.03";"Jasa Giro Dana Cadangan";4;0;1;
"4.1.4.02.04";"Bunga Deposito Kas Daerah";4;0;1;
"4.1.4.03";"Pendapatan Bunga Deposito";3;1;1;
"4.1.4.03.01";"Rekening Deposito pada Bank Jabar";4;0;1;
"4.1.4.04";"Tuntutan Ganti Kerugian Daerah";3;1;1;
"4.1.4.04.01";"Kerugian Uang ";4;0;1;
"4.1.4.04.02";"Kerugian Barang";4;0;1;
"4.1.4.05";"Komisi, Potongan dan Selisih Nilai Tukar Rupiah";3;1;1;
"4.1.4.05.01";"Penerimaan Komisi Dari Penempatan Kas Daerah";4;0;1;
"4.1.4.05.02";"Penerimaan Potongan";4;0;1;
"4.1.4.05.03";"Penerimaan Keuntungan Selisih Nilai Tukar Rupiah";4;0;1;
"4.1.4.06";"Pendapatan Denda atas Keterlambatan Pelaksanaan Pekerjaan";3;1;1;
"4.1.4.06.01";"Bidang Pendidikan";4;0;1;
"4.1.4.06.02";"Bidang Kesehatan";4;0;1;
"4.1.4.06.03";"Bidang Pekerjaan Umum";4;0;1;
"4.1.4.06.04";"Bidang Perumahan Rakyat";4;0;1;
"4.1.4.06.05";"Bidang Perencanaan Pembangunan, Penataan Ruang dan Statistik";4;0;1;
"4.1.4.06.06";"Bidang Perhubungan";4;0;1;
"4.1.4.06.07";"Bidang Lingkungan Hidup";4;0;1;
"4.1.4.06.08";"Bidang Pertanahan";4;0;1;
"4.1.4.06.09";"Bidang Kependudukan dan Catatan Sipil";4;0;1;
"4.1.4.06.10";"Bidang Pemberdayaan Perempuan";4;0;1;
"4.1.4.06.11";"Bidang Keluarga Berencana dan Keluarga Sejahtera";4;0;1;
"4.1.4.06.12";"Bidang Sosial";4;0;1;
"4.1.4.06.13";"Bidang Tenaga Kerja dan Transmigrasi";4;0;1;
"4.1.4.06.14";"Bidang Koperasi dan Usaha Kecil Menengah";4;0;1;
"4.1.4.06.15";"Bidang Penanaman Modal";4;0;1;
"4.1.4.06.16";"Bidang Kebudayaan dan Pariwisata";4;0;1;
"4.1.4.06.17";"Bidang Pemuda dan Olah Raga";4;0;1;
"4.1.4.06.18";"Bidang Kesatuan Bangsa dan Politik Dalam Negeri";4;0;1;
"4.1.4.06.19";"Bidang Pemerintahan Umum";4;0;1;
"4.1.4.06.20";"Bidang Kepegawaian";4;0;1;
"4.1.4.06.21";"Bidang Pemberdayaan Masyarakat dan Desa";4;0;1;
"4.1.4.06.22";"Bidang Kearsipan";4;0;1;
"4.1.4.06.23";"Bidang Komunikasi dan Informatika";4;0;1;
"4.1.4.06.24";"Bidang Pertanian";4;0;1;
"4.1.4.06.25";"Bidang Kehutanan";4;0;1;
"4.1.4.06.26";"Bidang Energi dan Sumberdaya Mineral";4;0;1;
"4.1.4.06.27";"Bidang Kelautan dan Perikanan";4;0;1;
"4.1.4.06.28";"Bidang Perdagangan";4;0;1;
"4.1.4.06.29";"Bidang Perindustrian";4;0;1;
"4.1.4.07";"Pendapatan Denda Pajak";3;1;1;
"4.1.4.07.01";"Pendapatan Denda Pajak Hotel";4;0;1;
"4.1.4.07.02";"Pendapatan Denda Pajak Restoran";4;0;1;
"4.1.4.07.03";"Pendapatan Denda Pajak Hiburan";4;0;1;
"4.1.4.07.04";"Pendapatan Denda Pajak Reklame";4;0;1;
"4.1.4.07.05";"Pendapatan Denda Pajak Penerangan Jalan";4;0;1;
"4.1.4.07.06";"Pendapatan Denda Pajak Pengambilan Bahan Galian Golongan C ( Pajak Pengambilan Mineral Bukan Logam dan Batuan)";4;0;1;
"4.1.4.07.07";"Pendapatan Denda Pajak Parkir";4;0;1;
"4.1.4.07.08";"Pendapatan Denda Pajak Air Bawah Tanah";4;0;1;
"4.1.4.07.09";"Pendapatan Denda Pajak Sarang Burung Walet";4;0;1;
"4.1.4.07.10";"Pendapatan Denda Pajak BPHTB";4;0;1;
"4.1.4.08";"Pendapatan Denda Retribusi";3;1;1;
"4.1.4.08.01";"Pendapatan Denda Retribusi Jasa Umum";4;0;1;
"4.1.4.08.02";"Pendapatan Denda Retribusi Jasa Usaha";4;0;1;
"4.1.4.08.03";"Pendapatan Denda Retribusi Perizinan Tertentu";4;0;1;
"4.1.4.09";"Pendapatan Hasil Eksekusi atas Jaminan";3;1;1;
"4.1.4.09.01";"Pendapatan Eksekusi Jaminan atas Pelaksanaan Pekerjaan";4;0;1;
"4.1.4.09.02";"Pendapatan Eksekusi Jaminan atas Pembongkaran Reklame";4;0;1;
"4.1.4.09.03";"Pendapatan Eksekusi Jaminan atas KTP Musiman";4;0;1;
"4.1.4.10";"Pendapatan dari Pengembalian";3;1;1;
"4.1.4.10.01";"Pendapatan dari Pengembalian Pajak Penghasilan Pasal 21";4;0;1;
"4.1.4.10.02";"Pendapatan dari Pengembalian Kelebihan Pembayaran Asuransi Kesehatan";4;0;1;
"4.1.4.10.03";"Pendapatan dari Pengembalian Kelebihan Pembayaran Gaji dan Tunjangan Pegawai";4;0;1;
"4.1.4.10.04";"Pendapatan dari Pengembalian Kelebihan Pembayaran Perjalanan Dinas";4;0;1;
"4.1.4.10.05";"Pendapatan dari Pengembalian Uang Muka";4;0;1;
"4.1.4.10.06";"Pendapatan dari Pengembalian Sisa Tender";4;0;1;
"4.1.4.10.07";"Pendapatan dari Pengembalian Sisa Pelaksanaan Kegiatan yang Tidak Terserap";4;0;1;
"4.1.4.11";"Fasilitas Sosial dan Fasilitas Umum";3;1;1;
"4.1.4.11.01";"Fasilitas Sosial";4;0;1;
"4.1.4.11.02";"Fasilitas Umum";4;0;1;
"4.1.4.12";"Pendapatan dari Penyelenggaraan Pendidikan dan Pelatihan";3;1;1;
