kode;nama;level;issummary;defsign
"5.1.6.03.167";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Banyu Asih Kecamatan Mauk";4;0;-1;
"5.1.6.03.168";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Mauk Barat Kecamatan Mauk";4;0;-1;
"5.1.6.03.169";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Ketapang Kecamatan Mauk";4;0;-1;
"5.1.6.03.170";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Marga Mulya Kecamatan Mauk";4;0;-1;
"5.1.6.03.171";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Tanjung Anom Kecamatan Mauk";4;0;-1;
"5.1.6.03.172";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Legok Sukamaju Kecamatan Kemiri";4;0;-1;
"5.1.6.03.173";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Ranca Labuh Kecamatan Kemiri";4;0;-1;
"5.1.6.03.174";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kemiri Kecamatan Kemiri";4;0;-1;
"5.1.6.03.175";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kelebet Kecamatan Kemiri";4;0;-1;
"5.1.6.03.176";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Patra Manggala Kecamatan Kemiri";4;0;-1;
"5.1.6.03.177";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Karang Anyar Kecamatan Kemiri";4;0;-1;
"5.1.6.03.178";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Lontar Kecamatan Kemiri";4;0;-1;
"5.1.6.03.179";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Buaran Jati Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.180";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Gintung Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.181";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kosambi Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.182";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Mekar Kondang Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.183";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Pekayon Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.184";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Sukadiri Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.185";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Rawa Kidang Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.186";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Karang Serang Kecamatan Sukadiri";4;0;-1;
"5.1.6.03.187";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Jambu Karya Kecamatan Rajeg";4;0;-1;
"5.1.6.03.188";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Daon Kecamatan Rajeg";4;0;-1;
"5.1.6.03.189";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Mekar Sari Kecamatan Rajeg";4;0;-1;
"5.1.6.03.190";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Suka Sari Kecamatan Rajeg";4;0;-1;
"5.1.6.03.191";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Rajegmulya Kecamatan Rajeg";4;0;-1;
"5.1.6.03.192";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Rajeg Kecamatan Rajeg";4;0;-1;
"5.1.6.03.193";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Suka Manah Kecamatan Rajeg";4;0;-1;
"5.1.6.03.194";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Pangarengan Kecamatan Rajeg";4;0;-1;
"5.1.6.03.195";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Ranca Bango Kecamatan Rajeg";4;0;-1;
"5.1.6.03.196";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Lembang Sari Kecamatan Rajeg";4;0;-1;
"5.1.6.03.197";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Tanjakan Kecamatan Rajeg";4;0;-1;
"5.1.6.03.198";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Tanjakan Mekar Kecamatan Rajeg";4;0;-1;
"5.1.6.03.199";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Mekar Jaya Kecamatan Sepatan";4;0;-1;
"5.1.6.03.200";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Karet Kecamatan Sepatan";4;0;-1;
"5.1.6.03.201";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Pondok Jaya Kecamatan Sepatan";4;0;-1;
"5.1.6.03.202";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Pisangan Jaya Kecamatan Sepatan";4;0;-1;
"5.1.6.03.203";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Sarakan Kecamatan Sepatan";4;0;-1;
"5.1.6.03.204";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kayu Bongkok Kecamatan Sepatan";4;0;-1;
"5.1.6.03.205";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kayu Agung Kecamatan Sepatan";4;0;-1;
"5.1.6.03.206";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Lebak Wangi Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.207";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kedaung Barat Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.208";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Jati Mulya Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.209";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Tanah Merah Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.210";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Sangiang Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.211";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Gempol Sari Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.212";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Pondok Kelor Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.213";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kampung Kelor Kecamatan Sepatan Timur";4;0;-1;
"5.1.6.03.214";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Bunisari Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.215";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Rawa Boni Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.216";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kiara Payung Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.217";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Gaga Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.218";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Laksana Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.219";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Buaran Bambu Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.220";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Paku alam Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.221";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Buaran Mangga Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.222";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Surya Bahari Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.223";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Sukawali Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.224";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kramat Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.225";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kalibaru Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.226";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kohod Kecamatan Pakuhaji";4;0;-1;
"5.1.6.03.227";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Bojong Renged Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.228";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kebon Cau Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.229";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Teluknaga Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.230";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Babakan Asem Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.231";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kampung Melayu Timur Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.232";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kampung Melayu Barat Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.233";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kampung Besar Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.234";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa L e m o Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.235";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Tegal Angus Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.236";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Pangkalan Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.237";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Tanjung Burung Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.238";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Tanjung pasir Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.239";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Muara Kecamatan Teluknaga";4;0;-1;
"5.1.6.03.240";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Rawa Rengas Kecamatan Kosambi";4;0;-1;
"5.1.6.03.241";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Rawa Burung Kecamatan Kosambi";4;0;-1;
"5.1.6.03.242";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Belimbing Kecamatan Kosambi";4;0;-1;
"5.1.6.03.243";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Jatimulya Kecamatan Kosambi";4;0;-1;
"5.1.6.03.244";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Kosambi Timur Kecamatan Kosambi";4;0;-1;
"5.1.6.03.245";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Cengklong Kecamatan Kosambi";4;0;-1;
"5.1.6.03.246";"Belanja Bagi Hasil Pajak Daerah Kepada Pemerintahan Desa Salembaran Jati Kecamatan Kosambi";4;0;-1;
"5.1.6.04";"Belanja Bagi Hasil Retribusi Daerah Kepada Kabupaten/Kota";3;1;-1;
"5.1.6.04.01";"Belanja Bagi Hasil Retribusi Daerah  Kepada Kabupaten/Kota";4;0;-1;
"5.1.6.05";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa";3;1;-1;
"5.1.6.05.001";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Jeungjing Kecamatan Cisoka";4;0;-1;
"5.1.6.05.002";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cisoka Kecamatan Cisoka";4;0;-1;
"5.1.6.05.003";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sukatani Kecamatan Cisoka";4;0;-1;
"5.1.6.05.004";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cempaka Kecamatan Cisoka";4;0;-1;
"5.1.6.05.005";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Karangharja Kecamatan Cisoka";4;0;-1;
"5.1.6.05.006";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Carenang Kecamatan Cisoka";4;0;-1;
"5.1.6.05.007";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Bojongloa Kecamatan Cisoka";4;0;-1;
"5.1.6.05.008";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Caringin Kecamatan Cisoka";4;0;-1;
"5.1.6.05.009";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Selapajang Kecamatan Cisoka";4;0;-1;
"5.1.6.05.010";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cibugel Kecamatan Cisoka";4;0;-1;
"5.1.6.05.011";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cikasungka Kecamatan Solear";4;0;-1;
"5.1.6.05.012";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cikuya Kecamatan Solear";4;0;-1;
"5.1.6.05.013";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cikareo Kecamatan Solear";4;0;-1;
"5.1.6.05.014";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cireundeu Kecamatan Solear";4;0;-1;
"5.1.6.05.015";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Solear Kecamatan Solear";4;0;-1;
"5.1.6.05.016";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasanggrahan Kecamatan Solear";4;0;-1;
"5.1.6.05.017";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Munjul Kecamatan Solear";4;0;-1;
"5.1.6.05.018";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cileles Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.019";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Bantar Panjang Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.020";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sodong Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.021";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Tapos Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.022";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Marga Sari Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.023";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Mata Gara Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.024";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pete Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.025";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Tegalsari Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.026";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pematang Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.027";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasir Nangka Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.028";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cisereh Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.029";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasir Bolang Kecamatan Tigaraksa";4;0;-1;
"5.1.6.05.030";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Mekarsari Kecamatan Jambe";4;0;-1;
"5.1.6.05.031";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Daru Kecamatan Jambe";4;0;-1;
"5.1.6.05.032";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sukamanah Kecamatan Jambe";4;0;-1;
"5.1.6.05.033";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Taban Kecamatan Jambe";4;0;-1;
"5.1.6.05.034";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Ancol Pasir Kecamatan Jambe";4;0;-1;
"5.1.6.05.035";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Rancabuaya Kecamatan Jambe";4;0;-1;
"5.1.6.05.036";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Tiparraya Kecamatan Jambe";4;0;-1;
"5.1.6.05.037";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Jambe Kecamatan Jambe";4;0;-1;
"5.1.6.05.038";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Kutruk Kecamatan Jambe";4;0;-1;
"5.1.6.05.039";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasir Barat Kecamatan Jambe";4;0;-1;
"5.1.6.05.040";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Budi Mulya Kecamatan Cikupa";4;0;-1;
"5.1.6.05.041";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Bojong Kecamatan Cikupa";4;0;-1;
"5.1.6.05.042";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cikupa Kecamatan Cikupa";4;0;-1;
"5.1.6.05.043";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Dukuh Kecamatan Cikupa";4;0;-1;
"5.1.6.05.044";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Bitung Jaya Kecamatan Cikupa";4;0;-1;
"5.1.6.05.045";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Suka Damai Kecamatan Cikupa";4;0;-1;
"5.1.6.05.046";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasir Jaya Kecamatan Cikupa";4;0;-1;
"5.1.6.05.047";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasir Gadung Kecamatan Cikupa";4;0;-1;
"5.1.6.05.048";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Talaga Sari Kecamatan Cikupa";4;0;-1;
"5.1.6.05.049";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Talaga Kecamatan Cikupa";4;0;-1;
"5.1.6.05.050";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Suka Nagara Kecamatan Cikupa";4;0;-1;
"5.1.6.05.051";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cibadak Kecamatan Cikupa";4;0;-1;
"5.1.6.05.052";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Ranca Iyuh Kecamatan Panongan";4;0;-1;
"5.1.6.05.053";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Mekarjaya Kecamatan Panongan";4;0;-1;
"5.1.6.05.054";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Ranca Kalapa Kecamatan Panongan";4;0;-1;
"5.1.6.05.055";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Panongan Kecamatan Panongan";4;0;-1;
"5.1.6.05.056";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Serdang Kulon Kecamatan Panongan";4;0;-1;
"5.1.6.05.057";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Ciakar Kecamatan Panongan";4;0;-1;
"5.1.6.05.058";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Peusar Kecamatan Panongan";4;0;-1;
"5.1.6.05.059";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Curug Wetan Kecamatan Curug";4;0;-1;
"5.1.6.05.060";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cukang Galih Kecamatan Curug";4;0;-1;
"5.1.6.05.061";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Kadu Jaya Kecamatan Curug";4;0;-1;
"5.1.6.05.062";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Kadu Kecamatan Curug";4;0;-1;
"5.1.6.05.063";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Curug Sangereng Kecamatan Kelapa Dua";4;0;-1;
"5.1.6.05.064";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Ciangir Kecamatan Legok";4;0;-1;
"5.1.6.05.065";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Babat Kecamatan Legok";4;0;-1;
"5.1.6.05.066";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Bojong Kamal Kecamatan Legok";4;0;-1;
"5.1.6.05.067";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cirarab Kecamatan Legok";4;0;-1;
"5.1.6.05.068";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Caringin  Kecamatan Legok";4;0;-1;
"5.1.6.05.069";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Kamuning Kecamatan Legok";4;0;-1;
"5.1.6.05.070";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Palasari Kecamatan Legok";4;0;-1;
"5.1.6.05.071";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Serdang Wetan Kecamatan Legok";4;0;-1;
"5.1.6.05.072";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Rancagong Kecamatan Legok";4;0;-1;
"5.1.6.05.073";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Legok Kecamatan Legok";4;0;-1;
"5.1.6.05.074";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Karang Tengah Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.075";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Malang Nengah Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.076";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Jatake Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.077";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Kadu Sirung Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.078";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Situ Gadung Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.079";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pagedangan Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.080";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cicalengka Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.081";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Lengkong Kulon Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.082";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cijantra Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.083";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cihuni Kecamatan Pagedangan";4;0;-1;
"5.1.6.05.084";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Mekarwangi Kecamatan Cisauk";4;0;-1;
"5.1.6.05.085";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Dangdang Kecamatan Cisauk";4;0;-1;
"5.1.6.05.086";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Suradita Kecamatan Cisauk";4;0;-1;
"5.1.6.05.087";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sampora Kecamatan Cisauk";4;0;-1;
"5.1.6.05.088";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cibogo Kecamatan Cisauk";4;0;-1;
"5.1.6.05.089";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Suka Asih Kecamatan Pasarkemis";4;0;-1;
"5.1.6.05.090";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasar Kemis Kecamatan Pasarkemis";4;0;-1;
"5.1.6.05.091";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sukamantri Kecamatan Pasarkemis";4;0;-1;
"5.1.6.05.092";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Gelam Jaya Kecamatan Pasarkemis";4;0;-1;
"5.1.6.05.093";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pangadegan Kecamatan Pasarkemis";4;0;-1;
"5.1.6.05.094";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Wana Kerta Kecamatan Sindang Jaya";4;0;-1;
"5.1.6.05.095";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Suka Harja Kecamatan Sindang Jaya";4;0;-1;
"5.1.6.05.096";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sindang Panon Kecamatan Sindang Jaya";4;0;-1;
"5.1.6.05.097";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sindang Jaya Kecamatan Sindang Jaya";4;0;-1;
"5.1.6.05.098";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sindang Asih Kecamatan Sindang Jaya";4;0;-1;
"5.1.6.05.099";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sindang Sono Kecamatan Sindang Jaya";4;0;-1;
"5.1.6.05.100";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Badak Anom Kecamatan Sindang Jaya";4;0;-1;
"5.1.6.05.101";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Gembong Kecamatan Balaraja";4;0;-1;
"5.1.6.05.102";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Cangkudu Kecamatan Balaraja";4;0;-1;
"5.1.6.05.103";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sentul Kecamatan Balaraja";4;0;-1;
"5.1.6.05.104";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Sentul Jaya Kecamatan Balaraja";4;0;-1;
"5.1.6.05.105";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Talagasari Kecamatan Balaraja";4;0;-1;
"5.1.6.05.106";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Tobat Kecamatan Balaraja";4;0;-1;
"5.1.6.05.107";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Suka Murni Kecamatan Balaraja";4;0;-1;
"5.1.6.05.108";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Saga Kecamatan Balaraja";4;0;-1;
"5.1.6.05.109";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Jayanti Kecamatan Jayanti";4;0;-1;
"5.1.6.05.110";"Belanja Bagi Hasil Retribusi Daerah Kepada Pemerintah Desa Pasir Muncang Kecamatan Jayanti";4;0;-1;
